Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.0047mF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,69.325,-34.055,180.0,top
C2,0.0047mF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.325,-45.655,90.0,top
C3,0.0047mF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.525,-47.655,0.0,top
C4,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.625,-38.155,-90.0,top
D1,D_Schottky,D_SMA_Handsoldering,111.5,-35.75,0.0,top
J1,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,70.545,-56.775,180.0,top
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,70.505,-73.25,180.0,top
J3,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,113.23,-39.75,-90.0,top
J4,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,114.5,-56.995,0.0,top
J5,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,84.5,-57.47,0.0,top
J6,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,102.617622,-57.262806,0.0,top
J7,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,111.495,-70.0,0.0,top
R1,110,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.325,-37.255,-90.0,top
R2,110,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.325,-41.455,90.0,top
R3,110,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.525,-44.455,90.0,top
R4,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.5,-46.75,-90.0,top
U1,AM26LV32xD,SOIC-16_3.9x9.9mm_P1.27mm,73.525,-40.655,270.0,top
